ni,你
hao,好
wo,我
huo,火
ren,人
tian,天
duo,多
ri,日
shui,水
a,阿
a,啊
ai,哎 
ai,哀
ai,爱
ai,挨
ai,矮
an,安 
an,岸
an,俺
an,按
an,暗
an,案
ang,昂
ang,肮
ao,凹
ao,傲
ao,熬
ao,袄
ao,奥
ba,巴
ba,八
ba,爸
ba,把
ba,拔
ba,罢
ba,疤
ba,扒
ba,吧
ba,霸
bai,白
bai,百
bai,拜
bai,摆
bai,柏
bai,败
bai,掰
bai,伯
ban,办
ban,半
ban,班
ban,般
ban,版
ban,板
ban,搬
ban,斑
ban,伴
ban,扮
ban,拌
ban,瓣
ban,绊
ban,颁
ban,扳
bang,帮
bang,棒
bang,榜
bang,绑
bang,傍
bang,镑
bang,谤
bao,包
bao,宝
bao,饱
bao,保
bao,报
bao,抱
bao,爆
bao,暴
bao,豹
bao,薄
bao,曝
bao,胞
bei,北
bei,贝
bei,背
bei,被
bei,呗
bei,杯
bei,备
bei,倍
bei,悲
bei,碑
bei,辈
bei,卑
ben,本
ben,笨
ben,奔
beng,蹦
beng,泵
beng,崩
beng,甭
beng,绷
bi,比
bi,必
bi,币
bi,逼
bi,鼻
bi,彼
bi,笔
bi,毕
bi,壁
bi,闭
bi,避
bi,臂
bi,蔽
bi,庇
bi,毙
bi,弊
bian,边
bian,变
bian,便
bian,编
bian,遍
bian,扁
bian,鞭
bian,贬
bian,辨
bian,辩
bian,辫
biao,表
biao,标
biao,婊
biao,膘
bie,别
bie,憋
bie,瘪
bin,彬
bin,鬓
bin,斌
bing,兵
bing,冰
bing,并
bing,病
bing,饼
bing,並
bing,丙
bing,秉
bo,波
bo,伯
bo,播
bo,博
bo,勃
bo,玻
bo,薄
bo,驳
bu,不
bu,部
bu,布
bu,补
bu,步
bu,卜
bu,捕
bu,怖
bu,哺
ca,擦
ca,嚓
ca,拆
cai,才
cai,菜
cai,踩
cai,彩
cai,采
cai,猜
cai,财
cai,材
cai,裁
cai,蔡
can,参
can,惨
can,残
can,餐
can,灿
can,蚕
can,惭
can,掺
can,蝅
cang,仓
cang,藏
cang,苍
cang,舱
cang,沧
cao,草
cao,操
cao,曹
cao,糙
cao,嘈
cao,嘈
ce,侧
ce,册
ce,厕
ce,测
ce,策
cen,参
ceng,层
ceng,曽
ceng,蹭
cha,叉
cha,岔
cha,查
cha,差
cha,茶
cha,挿
cha,挿
cha,岔
chai,拆
chai,柴
chai,豺
chai,差
chan,产
chan,忏
chan,掺
chan,阐
chan,谗
chan,馋
chan,蝉
chang,长
chang,厂
chang,场
chang,肠
chang,畅
chang,倡
chang,常
chang,猖
chang,唱
chang,娼
chang,偿
chang,嫦
chang,昌
chang,畅
chao,吵
chao,抄
chao,炒
chao,钞
chao,巢
chao,朝
chao,超
chao,潮
che,车
che,彻
che,扯
che,撤
chen,尘
chen,沉
chen,陈
chen,衬
chen,晨
chen,趁
cheng,成
cheng,丞
cheng,呈
cheng,承
cheng,乘
cheng,逞
cheng,诚
cheng,秤
cheng,称
cheng,橙
chi,尺
chi,吃
chi,迟
chi,斥
chi,持
chi,赤
chi,池
chi,齿
chi,弛
chi,耻
chi,翅
chi,痴
chong,虫
chong,冲
chong,充
chong,重
chong,宠
chong,崇
chong,憧
chou,丑
chou,臭
chou,仇
chou,抽
chou,愁
chou,稠
chou,酬
chou,瞅
chu,岀
chu,处
chu,初
chu,除
chu,楚
chu,畜
chu,础
chu,触
chu,厨
chu,躇
chu,锄
chu,雏
chu,怵
chuai,揣
chuai,踹
chuan,川
chuan,串
chuan,穿
chuan,传
chuan,船
chuan,喘
chuang,床
chuang,窗
chuang,创
chuang,闯
chuang,疮
chui,吹
chui,炊
chui,垂
chui,锤
chun,春
chun,唇
chun,纯
ci,次
ci,此
ci,词
ci,刺
ci,伺
ci,辞
ci,磁
ci,雌
ci,赐
cong,从
cong,匆
cong,丛
cong,囱
cong,葱
cong,聪
cou,凑
cu,卒
cu,促
cu,粗
cu,猝
cu,醋
cuan,窜
cuan,汆
cuan,篡
cui,催
cui,脆
cui,粹
cun,寸
cun,存
cun,村
cuo,错
cuo,措
cuo,挫
cuo,撮
da,大
da,打
da,答
da,达
da,搭
da,哒
da,耷
da,瘩
dai,代
dai,呆
dai,带
dai,待
dai,怠
dai,贷
dai,袋
dai,戴
dan,单
dan,但
dan,丹
dan,担
dan,胆
dan,诞
dan,弹
dan,蛋
dan,淡
dan,担
dang,当
dang,挡
dang,荡
dang,档
dao,到
dao,道
dao,刀
dao,岛
dao,导
dao,倒
dao,盗
dao,捣
de,的
de,地
de,得
de,德
dei,得
deng,灯
deng,等
deng,登
deng,凳
deng,瞪
di,地
di,第
di,底
di,帝
di,的
di,低
di,敌
di,递
di,弟
di,笛
di,滴
di,抵
dian,点
dian,店
dian,电
dian,典
dian,甸
dian,颠
dian,垫
dian,碘
dian,淀
dian,殿
dian,癫
diao,刁
diao,掉
diao,调
diao,雕
diao,吊
die,叠
die,碟
die,蝶
die,迭
die,爹
die,跌
ding,丁
ding,定
ding,顶
ding,订
ding,钉
ding,頂
diu,丢
dong,东
dong,洞
dong,动
dong,冬
dong,冻
dong,栋
dong,懂
dou,斗
dou,豆
dou,都
dou,逗
dou,抖
dou,兜
dou,陡
du,度
du,读
du,都
du,杜
du,渡
du,肚
du,独
du,堵
du,毒
du,赌
du,妒
du,睹
duan,段
duan,短
duan,端
duan,断
duan,缎
duan,锻
dui,对
dui,队
dui,堆
dui,兑
dun,顿
dun,吨
dun,蹲
dun,墩
dun,炖
dun,盾
duo,多
duo,夺
duo,朵
duo,堕
duo,躲
duo,舵
duo,剁
duo,踱
duo,跺
e,恶
e,俄
e,额
e,饿
e,鹅
ei,诶
en,恩
en,嗯
en,摁
er,而
er,二
er,尔
er,儿
er,耳
fa,发
fa,法
fa,罚
fa,乏
fa,伐
fa,阀
fan,反
fan,凡
fan,范
fan,犯
fan,饭
fan,翻
fan,番
fan,返
fan,帆
fan,繁
fan,烦
fan,贩
fan,泛
fan,樊
fang,方
fang,放
fang,房
fang,防
fang,芳
fang,访
fang,纺
fang,坊
fei,飞
fei,非
fei,费
fei,费
fei,肥
fei,废
fei,肺
fei,匪
fei,沸
fei,吠
fei,妃
fei,诽
fen,分
fen,份
fen,粉
fen,芬
fen,坟
fen,愤
fen,焚
feng,风
feng,凤
feng,封
feng,峰
feng,丰
feng,奉
feng,逢
feng,锋
feng,冯
feng,疯
feng,讽
feng,蜂
fo,佛
fou,否
fu,夫
fu,父
fu,副
fu,福
fu,府
fu,富
fu,复
fu,赴
fu,幅
fu,服
fu,负
fu,附
fu,赋
fu,伏
fu,腹
fu,浮
fu,傅
